Country Name,Athlete,Gender,Event,Medal
Belgium,"HELLEBAUT, Tia",Women,High Jump,Gold
Croatia,"VLASIC, Blanka",Women,High Jump,Silver
Finland,"PITKAMAKI, Tero",Men,Javelin Throw,Bronze
Norway,"THORKILDSEN, Andreas",Men,Javelin Throw,Gold
Latvia,"KOVALS, Ainars",Men,Javelin Throw,Silver
Germany,"OBERGFOLL, Christina",Women,Javelin Throw,Bronze
Czech Republic,"SPOTAKOVA, Barbora",Women,Javelin Throw,Gold
Russia,"ABAKUMOVA, Maria",Women,Javelin Throw,Silver
Cuba,"CAMEJO, Ibrahim",Men,Long Jump,Bronze
Panama,"SALADINO ARANDA, Irving Jahir",Men,Long Jump,Gold
South Africa,"MOKOENA, Khotso",Men,Long Jump,Silver
Nigeria,"OKAGBARE, Blessing",Women,Long Jump,Bronze
Brazil,"MAGGI, Maurren Higa",Women,Long Jump,Gold
Russia,"LEBEDEVA, Tatyana",Women,Long Jump,Silver
Ethiopia,"KEBEDE, Tsegay",Men,Marathon,Bronze
Kenya,"WANSIRU, Samuel Kamau",Men,Marathon,Gold
Morocco,"GHARIB, Jaouad",Men,Marathon,Silver
China,"ZHOU, Chunxiu",Women,Marathon,Bronze
Romania,"TOMESCU, Constantina",Women,Marathon,Gold
Kenya,"NDEREBA, Catherine",Women,Marathon,Silver
Ukraine,"YURCHENKO, Denys",Men,Pole Vault,Bronze
Australia,"HOOKER, Steve",Men,Pole Vault,Gold
Russia,"LUKYANENKO, Evgeny",Men,Pole Vault,Silver
Russia,"FEOFANOVA, Svetlana",Women,Pole Vault,Bronze
Russia,"ISINBAEVA, Elena",Women,Pole Vault,Gold
United States,"STUCZYNSKI, Jennifer",Women,Pole Vault,Silver
Belarus,"MIKHNEVICH, Andrei",Men,Shot Put,Bronze
Poland,"MAJEWSKI, Tomasz",Men,Shot Put,Gold
United States,"CANTWELL, Christian",Men,Shot Put,Silver
Belarus,"OSTAPCHUK, Nadzeya",Women,Shot Put,Bronze
New Zealand,"VILI, Valerie",Women,Shot Put,Gold
Belarus,"MIKHNEVICH, Natallia",Women,Shot Put,Silver
Bahamas,"SANDS, Leevan",Men,Triple Jump,Bronze
Portugal,"EVORA, Nelson",Men,Triple Jump,Gold
United Kingdom,"IDOWU, Phillips",Men,Triple Jump,Silver
Greece,"DEVETZI, Hrysopiyi",Women,Triple Jump,Bronze
Cameroon,"MBANGO ETONE, Francoise",Women,Triple Jump,Gold
Russia,"LEBEDEVA, Tatyana",Women,Triple Jump,Silver
United Kingdom,"FARAH, Mo",Men,10000M,Gold
United States,"RUPP, Galen",Men,10000M,Silver
Ethiopia,"BEKELE, Tariku",Men,10000M,Bronze
Ethiopia,"DIBABA, Tirunesh",Women,10000M,Gold
Kenya,"KIPYEGO, Sally Jepkosgei",Women,10000M,Silver
Kenya,"CHERUIYOT, Vivian",Women,10000M,Bronze
Jamaica,"BOLT, Usain",Men,100M,Gold
Jamaica,"BLAKE, Yohan",Men,100M,Silver
United States,"GATLIN, Justin",Men,100M,Bronze
Jamaica,"FRASER-PRYCE, Shelly-Ann",Women,100M,Gold
United States,"JETER, Carmelita",Women,100M,Silver
Jamaica,"CAMPBELL-BROWN, Veronica",Women,100M,Bronze
Australia,"PEARSON, Sally",Women,100M Hurdles,Gold
United States,"HARPER, Dawn",Women,100M Hurdles,Silver
United States,"WELLS, Kellie",Women,100M Hurdles,Bronze
United States,"MERRITT, Aries",Men,110M Hurdles,Gold
United States,"RICHARDSON, Jason",Men,110M Hurdles,Silver
Jamaica,"PARCHMENT, Hansle",Men,110M Hurdles,Bronze
Algeria,"MAKHLOUFI, Taoufik",Men,1500M,Gold
United States,"MANZANO, Leonel",Men,1500M,Silver
Morocco,"IGUIDER, Abdalaati",Men,1500M,Bronze
,Pending,Women,1500M,Gold
Turkey,"BULUT, Gamze",Women,1500M,Silver
Bahrain,"JAMAL, Maryam Yusuf",Women,1500M,Bronze
Jamaica,"BOLT, Usain",Men,200M,Gold
Jamaica,"BLAKE, Yohan",Men,200M,Silver
Jamaica,"WEIR, Warren",Men,200M,Bronze
United States,"FELIX, Allyson",Women,200M,Gold
Jamaica,"FRASER-PRYCE, Shelly-Ann",Women,200M,Silver
United States,"JETER, Carmelita",Women,200M,Bronze
Russia,"LASHMANOVA, Elena",Women,20KM Race Walk,Gold
China,"QIEYANG, Shenjie",Women,20KM Race Walk,Silver
China,"LIU, Hong",Women,20KM Race Walk,Bronze
China,"CHEN, Ding",Men,20KM Walk,Gold
Guatemala,"BARRONDO, Erick",Men,20KM Walk,Silver
China,"WANG, Zhen",Men,20KM Walk,Bronze
Kenya,"KEMBOI, Ezekiel",Men,3000M Steeple,Gold
France,"MEKHISSI-BENABBAD, Mahiedine",Men,3000M Steeple,Silver
Kenya,"MUTAI, Abel Kiprop",Men,3000M Steeple,Bronze
Tunisia,"GHRIBI, Habiba",Women,3000M Steeple,Gold
Ethiopia,"ASSEFA, Sofia",Women,3000M Steeple,Silver
Kenya,"CHEYWA, Milcah Chemos",Women,3000M Steeple,Bronze
Grenada,"JAMES, Kirani",Men,400M,Gold
Dominican Republic,"SANTOS, Luguelin",Men,400M,Silver
,"GORDON, Lalonde",Men,400M,Bronze
United States,"RICHARDS-ROSS, Sanya",Women,400M,Gold
United Kingdom,"OHURUOGU, Christine",Women,400M,Silver
United States,"TROTTER, DeeDee",Women,400M,Bronze
Dominican Republic,"SANCHEZ, Felix",Men,400M Hurdles,Gold
United States,"TINSLEY, Michael",Men,400M Hurdles,Silver
Puerto Rico*,"CULSON, Javier",Men,400M Hurdles,Bronze
Russia,"ANTYUKH, Natalya",Women,400M Hurdles,Gold
United States,"DEMUS, Lashinda",Women,400M Hurdles,Silver
Czech Republic,"HEJNOVA, Zuzana",Women,400M Hurdles,Bronze
United Kingdom,"FARAH, Mo",Men,5000M,Gold
Ethiopia,"GEBREMESKEL, Dejen",Men,5000M,Silver
Kenya,"LONGOSIWA, Thomas Pkemei",Men,5000M,Bronze
Ethiopia,"DEFAR, Meseret",Women,5000M,Gold
Kenya,"CHERUIYOT, Vivian",Women,5000M,Silver
Ethiopia,"DIBABA, Tirunesh",Women,5000M,Bronze
Australia,"TALLENT, Jared",Men,50KM Walk,Gold
China,"SI, Tianfeng",Men,50KM Walk,Silver
Ireland,"HEFFERNAN, Robert",Men,50KM Walk,Bronze
Kenya,"RUDISHA, David Lekuta",Men,800M,Gold
Botswana,"AMOS, Nijel",Men,800M,Silver
Kenya,"KITUM, Timothy",Men,800M,Bronze
Russia,"SAVINOVA, Mariya",Women,800M,Gold
South Africa,"SEMENYA, Caster",Women,800M,Silver
Russia,"POISTOGOVA, Ekaterina",Women,800M,Bronze
United States,"EATON, Ashton",Men,Decathlon,Gold
United States,"HARDEE, Trey",Men,Decathlon,Silver
Cuba,"SUAREZ, Leonel",Men,Decathlon,Bronze
Germany,"HARTING, Robert",Men,Discus Throw,Gold
Iran,"HADADI, Ehsan",Men,Discus Throw,Silver
Estonia,"KANTER, Gerd",Men,Discus Throw,Bronze
Croatia,"PERKOVIC, Sandra",Women,Discus Throw,Gold
China,"LI, Yanfeng",Women,Discus Throw,Silver
Cuba,"BARRIOS, Yarelys",Women,Discus Throw,Bronze
Hungary,"PARS, Krisztian",Men,Hammer Throw,Gold
Slovenia,"KOZMUS, Primoz",Men,Hammer Throw,Silver
Japan,"MUROFUSHI, Koji",Men,Hammer Throw,Bronze
Poland,"WLODARCZYK, Anita",Women,Hammer Throw,Gold
Germany,"HEIDLER, Betty",Women,Hammer Throw,Silver
China,"ZHANG, Wenxiu",Women,Hammer Throw,Bronze
United Kingdom,"ENNIS, Jessica",Women,Heptathlon,Gold
Germany,"SCHWARZKOPF, Lilli",Women,Heptathlon,Silver
Russia,"CHERNOVA, Tatyana",Women,Heptathlon,Bronze
Russia,"UKHOV, Ivan",Men,High Jump,Gold
United States,"KYNARD, Erik",Men,High Jump,Silver
Qatar,"BARSHIM, Mutaz Essa",Men,High Jump,Bronze
Canada,"DROUIN, Derek",Men,High Jump,Bronze
United Kingdom,"GRABARZ, Robert",Men,High Jump,Bronze
Russia,"CHICHEROVA, Anna",Women,High Jump,Gold
United States,"BARRETT, Brigetta",Women,High Jump,Silver
Russia,"SHKOLINA, Svetlana",Women,High Jump,Bronze
,"WALCOTT, Keshorn",Men,Javelin Throw,Gold
Finland,"RUUSKANEN, Antti",Men,Javelin Throw,Silver
Czech Republic,"VESELY, Vitezslav",Men,Javelin Throw,Bronze
Czech Republic,"SPOTAKOVA, Barbora",Women,Javelin Throw,Gold
Germany,"OBERGFOELL, Christina",Women,Javelin Throw,Silver
Germany,"STAHL, Linda",Women,Javelin Throw,Bronze
United Kingdom,"RUTHERFORD, Greg",Men,Long Jump,Gold
Australia,"WATT, Mitchell",Men,Long Jump,Silver
United States,"CLAYE, Will",Men,Long Jump,Bronze
United States,"REESE, Brittney",Women,Long Jump,Gold
Russia,"SOKOLOVA, Elena",Women,Long Jump,Silver
United States,"DELOACH, Janay",Women,Long Jump,Bronze
Uganda,"KIPROTICH, Stephen",Men,Marathon,Gold
Kenya,"KIRUI, Abel",Men,Marathon,Silver
Kenya,"KIPROTICH, Wilson Kipsang",Men,Marathon,Bronze
Ethiopia,"GELANA, Tiki",Women,Marathon,Gold
Kenya,"JEPTOO, Priscah",Women,Marathon,Silver
Russia,"PETROVA ARKHIPOVA, Tatyana",Women,Marathon,Bronze
France,"LAVILLENIE, Renaud",Men,Pole Vault,Gold
Germany,"OTTO, Bjorn",Men,Pole Vault,Silver
Germany,"HOLZDEPPE, Raphael",Men,Pole Vault,Bronze
United States,"STUCZYNSKI, Jennifer",Women,Pole Vault,Gold
Cuba,"SILVA, Yarisley",Women,Pole Vault,Silver
Russia,"ISINBAEVA, Yelena",Women,Pole Vault,Bronze
Poland,"MAJEWSKI, Tomasz",Men,Shot Put,Gold
Germany,"STORL, David",Men,Shot Put,Silver
United States,"HOFFA, Reese",Men,Shot Put,Bronze
New Zealand,"ADAMS, Valerie",Women,Shot Put,Gold
China,"GONG, Lijiao",Women,Shot Put,Silver
China,"LING, Li",Women,Shot Put,Bronze
United States,"TAYLOR, Christian",Men,Triple Jump,Gold
United States,"CLAYE, Will",Men,Triple Jump,Silver
Italy,"DONATO, Fabrizio",Men,Triple Jump,Bronze
Kazakhstan,"RYPAKOVA, Olga",Women,Triple Jump,Gold
Colombia,"IBARGUEN, Caterine",Women,Triple Jump,Silver
Ukraine,"SALADUKHA, Olga",Women,Triple Jump,Bronze
